Temperature,L,R,A_M,Color,Spectral_Class,Type
3068,24,0.17,16.12,Red,M,0
3042,5,1.542,16.6,Red,M,0
2600,3,102,18.7,Red,M,0
2800,2,0.16,16.65,Red,M,0
1939,138,103,20.06,Red,M,0
2840,65,0.11,16.98,Red,M,0
2637,73,127,17.22,Red,M,0
2600,4,96,17.4,Red,M,0
2650,69,0.11,17.45,Red,M,0
2700,18,0.13,16.05,Red,M,0
3600,29,0.51,10.69,Red,M,1
3129,122,3.761,11.79,Red,M,1
3134,4,196,13.21,Red,M,1
3628,55,393,10.48,Red,M,1
2650,6,0.14,11.782,Red,M,1
3340,38,0.24,13.07,Red,M,1
2799,18,0.16,14.79,Red,M,1
3692,367,0.47,10.8,Red,M,1
3192,362,1.967,13.53,Red,M,1
3441,39,351,11.18,Red,M,1
25000,56,84,10.58,Blue White,B,2
7740,49,1.234,14.02,White,A,2
7220,17,11,14.23,White,F,2
8500,5,0.01,14.5,White,A,2
16500,13,14,11.89,Blue White,B,2
12990,85,984,12.23,Yellowish White,F,2
8570,81,97,14.2,Blue White,A,2
7700,11,128,14.47,Yellowish White,F,2
11790,15,11,12.59,Yellowish White,F,2
7230,8,13,14.08,Pale yellow orange,F,2
39000,204000,10.6,-4.7,Blue,O,3
30000,28840,6.3,-4.2,Blue White,B,3
15276,1136,7.2,-1.97,Blue White,B,3
9700,74,2.89,0.16,Whitish,B,3
5800,0.81,0.9,05.05,yellow-White,F,3
8052,8.7,1.8,2.42,Whitish,A,3
6757,1.43,1.12,2.41,yellow-White,F,3
6380,1.35,0.98,2.93,yellow-White,F,3
5936,1.357,1.106,4.46,yellow-White,F,3
5587,819,0.99,05.03,yellow-White,F,3
3826,200000,19,-6.93,Red,M,4
3365,340000,23,-6.2,Red,M,4
3270,150000,88,-6.02,Red,M,4
3200,195000,17,-7.22,Red,M,4
3008,280000,25,-6,Red,M,4
3600,320000,29,-6.6,Red,M,4
3575,123000,45,-6.78,Red,M,4
3574,200000,89,-5.24,Red,M,4
3625,184000,84,-6.74,Red,M,4
33750,220000,26,-6.1,Blue,B,4
3490,270000,1520,-9.4,Red,M,5
3750,283000,1260,-7.63,Red,M,5
3834,272000,1183,-9.2,Red,M,5
3749,550000,1648,-8.05,Orange,M,5
3650,310000,1324,-7.79,Red,M,5
3450,263000,1349,-11.75,Red,M,5
3660,363000,1673,-11.92,Red,M,5
3450,174000,1284,-11.28,Red,M,5
3752,209000,955,-11.24,Red,M,5
3535,195000,1546,-11.36,Red,M,5
3341,56,57,16.23,Red,M,0
3432,67,0.19,16.94,Red,M,0
2983,24,94,16.09,Red,M,0
2835,34,918,16.96,Red,M,0
2935,14,116,18.89,Red,M,0
3295,98,132,17.13,Red,M,0
2945,32,93,18.34,Red,M,0
2817,98,911,16.45,Red,M,0
2774,36,118,17.39,Red,M,0
2871,72,0.12,19.43,Red,M,0
3345,21,273,12.3,Red,M,1
3607,22,0.38,10.12,Red,M,1
3304,85,0.18,13.2,Red,M,1
3150,88,0.35,11.94,Red,M,1
3550,4,291,10.89,Red,M,1
3180,1,0.35,11.76,Red,M,1
2890,34,0.24,13.46,Red,M,1
3342,15,307,11.87,Red,M,1
2621,6,98,12.81,Red,M,1
3158,135,161,13.98,Red,M,1
7100,29,12,14.09,White-Yellow,F,2
10574,14,92,12.02,White,F,2
8930,56,95,13.78,White,A,2
17200,98,15,12.45,Blue White,B,2
14100,67,89,12.17,Blue White,B,2
9675,45,109,13.98,Blue White,A,2
12010,78,92,12.13,Blue White,B,2
10980,74,87,11.19,Blue White,B,2
13720,18,892,12.97,White,F,2
19860,11,131,11.34,Blue,B,2
5300,0.59,0.91,5.49,yellow-White,F,3
4526,153,865,6.506,Yellowish,K,3
4077,85,795,6.228,Yellowish,K,3
4980,357,1.13,4.78,Yellowish,K,3
9030,45,2.63,1.45,Blue White,A,3
11250,672,6.98,-2.3,Blue White,A,3
5112,0.63,876,4.68,Orange-Red,K,3
7720,7.92,1.34,2.44,yellow-White,F,3
12098,689,07.01,0.02,Blue White,A,3
36108,198000,10.2,-4.4,Blue,O,3
33300,240000,12,-6.5,Blue,B,4
40000,813000,14,-6.23,Blue,O,4
23000,127000,36,-5.76,Blue,O,4
17120,235000,83,-6.89,Blue,O,4
11096,112000,12,-5.91,Blue,O,4
14245,231000,42,-6.12,Blue,O,4
24630,363000,63,-5.83,Blue,O,4
12893,184000,36,-6.34,Blue,O,4
24345,142000,57,-6.24,Blue,O,4
33421,352000,67,-5.79,Blue,O,4
3459,100000,1289,-10.7,Red,M,5
3605,126000,1124,-10.81,Red,M,5
3615,200000,1635,-11.33,Red,M,5
3399,117000,1486,-10.92,Red,M,5
3610,132000,1522,-10.86,Red,M,5
3553,145000,1324,-11.03,Red,M,5
4015,282000,1534,-11.39,Red,K,5
3625,74000,876,-10.25,Red,M,5
6850,229000,1467,-10.07,Red,G,5
3780,200000,1324,-10.7,Red,M,5
3323,43,912,17.16,Red,M,0
3531,93,976,19.94,Red,M,0
3218,54,0.11,20.02,Red,M,0
